Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,6705,0,1200.0,1183.7044586534462,220.35045782104135,2898.901459062472,10523.8538404176,22.348711889599894,0.0,1200,1200,1300,1300,1400,1500,1700,2000,2600,2900,2900
GET,/cart,6642,0,610.0,644.8237428967318,111.77883413620293,2014.4919999875128,17305.80096356519,22.138723992650633,0.0,610,700,710,740,810,900,1000,1100,1900,2000,2000
POST,/cart,5327,0,720.0,763.6329505713829,133.9635420590639,2126.856042072177,17162.459733433454,17.755643286487494,0.0,720,800,850,900,980,1000,1200,1300,2000,2100,2100
POST,/cart/checkout,1325,0,490.0,510.7126731550286,124.45991695858538,1817.051124991849,6805.629433962265,4.416412118377309,0.0,490,520,600,670,790,870,990,1100,1800,1800,1800
POST,/cart/empty,1301,0,1300.0,1329.8257015651589,627.4311249144375,3004.463957855478,10508.0,4.3364167290633056,0.0,1300,1400,1400,1400,1500,1700,1800,2700,3000,3000,3000
GET,/product/2ZYFJ3GM2N,1345,0,430.0,462.28310283598904,150.9274998679757,1707.2798751760274,8064.393308550186,4.483074942805646,0.0,430,500,500,510,600,680,790,900,1700,1700,1700
GET,/product/66VCHSJNUP,1318,0,480.0,474.3066964173203,182.22258402965963,1892.5603339448571,7942.602427921092,4.393080129827392,0.0,480,490,510,570,600,680,790,1100,1500,1900,1900
GET,/product/6E92ZMYYFZ,1330,0,430.0,456.11097106247917,146.24983305111527,1400.4850829951465,8020.327819548872,4.433077824484394,0.0,430,500,500,520,600,670,800,900,1400,1400,1400
GET,/product/L9ECAV7KIM,1333,0,470.0,466.44403344241726,182.3285419959575,1311.238459078595,8038.697674418605,4.4430772481486445,0.0,470,500,510,560,600,690,710,830,1300,1300,1300
GET,/product/LS4PSXUNUM,1313,0,480.0,473.4873189842676,200.57758316397667,1707.4562921188772,8038.077684691546,4.376414423720307,0.0,480,500,500,550,600,700,900,1000,1400,1700,1700
GET,/product/OLJCESPC7Z,2727,0,470.0,472.623981204332,65.17945905216038,1782.6664168387651,8025.961496149615,9.089476110803716,0.0,470,500,510,570,600,690,880,1000,1700,1800,1800
POST,/setCurrency,2759,0,1200.0,1205.036940587966,299.60170900449157,2883.0994579475373,10503.478796665459,9.196136629889054,0.0,1200,1300,1300,1300,1400,1600,1800,2000,2800,2900,2900
,Aggregated,33425,0,700.0,789.9734870871705,200.17945905216038,3004.463957855478,12078.917875841436,111.41024532585779,0.0,700,910,1100,1100,1300,1400,1500,1700,2500,2900,3000